match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version,home_team_name,away_team_name
3825846,2016-05-14,17:00:00.000,Spain - La Liga,2015/2016,RC Deportivo La Coruña,Real Madrid,0,2,available,unscheduled,2022-04-06T22:33:41.582817,,38,Regular Season,Estadio Abanca-Riazor,Antonio Miguel Mateu Lahoz,Víctor Sánchez del Amo,Zinédine Zidane,1.1.0,2,2,RC Deportivo La Coruña,Real Madrid
3825833,2016-04-16,16:00:00.000,Spain - La Liga,2015/2016,Getafe,Real Madrid,1,5,available,unscheduled,2022-05-08T21:59:10.171579,,33,Regular Season,Coliseum Alfonso Pérez,José Luis González González,Juan Eduardo Esnáider Belén,Zinédine Zidane,1.1.0,2,2,Getafe,Real Madrid
3825820,2016-03-20,21:30:00.000,Spain - La Liga,2015/2016,Real Madrid,Sevilla,4,0,available,unscheduled,2022-03-22T17:08:47.863803,,30,Regular Season,Estadio Santiago Bernabéu,Xavier Estrada Fernández,Zinédine Zidane,Unai Emery Etxegoien,1.1.0,2,2,Real Madrid,Sevilla
3825757,2016-01-31,21:30:00.000,Spain - La Liga,2015/2016,Real Madrid,Espanyol,6,0,available,unscheduled,2022-03-22T16:26:16.085756,,22,Regular Season,Estadio Santiago Bernabéu,Alejandro José Hernández Hernández,Zinédine Zidane,Constantin Gâlcă,1.1.0,2,2,Real Madrid,Espanyol
3825798,2016-03-02,22:00:00.000,Spain - La Liga,2015/2016,Levante UD,Real Madrid,1,3,available,unscheduled,2022-03-20T23:15:50.875072,,27,Regular Season,Estadio Ciudad de Valencia,Ricardo De Burgos Bengoetxea,Joan Francesc Ferrer Sicilia,Zinédine Zidane,1.1.0,2,2,Levante UD,Real Madrid
3825787,2016-02-27,17:00:00.000,Spain - La Liga,2015/2016,Real Madrid,Atlético Madrid,0,1,available,unscheduled,2022-03-20T23:01:59.136205,,26,Regular Season,Estadio Santiago Bernabéu,Carlos Clos Gómez,Zinédine Zidane,Diego Pablo Simeone,1.1.0,2,2,Real Madrid,Atlético Madrid
3825785,2016-02-21,17:00:00.000,Spain - La Liga,2015/2016,Málaga,Real Madrid,1,1,available,unscheduled,2022-03-20T22:56:38.976506,,25,Regular Season,Estadio La Rosaleda,Ignacio Iglesias Villanueva,,Zinédine Zidane,1.1.0,2,2,Málaga,Real Madrid
3825770,2016-02-13,17:00:00.000,Spain - La Liga,2015/2016,Real Madrid,Athletic Club,4,2,available,unscheduled,2022-03-20T22:30:43.857614,,24,Regular Season,Estadio Santiago Bernabéu,Alfonso Álvarez Izquierdo,Zinédine Zidane,Ernesto Valverde Tejedor,1.1.0,2,2,Real Madrid,Athletic Club
3825678,2015-11-29,17:00:00.000,Spain - La Liga,2015/2016,Eibar,Real Madrid,0,2,available,unscheduled,2022-03-20T21:39:48.103890,,13,Regular Season,Estadio Municipal de Ipurúa,Jesús Gil Manzano,José Luis Mendilibar Etxebarria,Rafael Benítez Maudes,1.1.0,2,2,Eibar,Real Madrid
3825643,2015-10-31,17:00:00.000,Spain - La Liga,2015/2016,Real Madrid,Las Palmas,3,1,available,unscheduled,2022-03-20T21:32:32.301513,,10,Regular Season,Estadio Santiago Bernabéu,Santiago Jaime Latre,Rafael Benítez Maudes,Enrique Setién Solar,1.1.0,2,2,Real Madrid,Las Palmas
3825572,2015-08-29,22:30:00.000,Spain - La Liga,2015/2016,Real Madrid,Real Betis,5,0,available,unscheduled,2022-03-20T20:33:23.773202,,2,Regular Season,Estadio Santiago Bernabéu,Alejandro José Hernández Hernández,Rafael Benítez Maudes,José Mel Pérez,1.1.0,2,2,Real Madrid,Real Betis
3825700,2015-12-20,17:00:00.000,Spain - La Liga,2015/2016,Real Madrid,Rayo Vallecano,10,2,available,unscheduled,2022-02-28T17:50:11.660523,,16,Regular Season,Estadio Santiago Bernabéu,Ignacio Iglesias Villanueva,Rafael Benítez Maudes,Francisco Jémez Martín,1.1.0,2,2,Real Madrid,Rayo Vallecano
3825695,2015-12-13,21:30:00.000,Spain - La Liga,2015/2016,Villarreal,Real Madrid,1,0,available,unscheduled,2022-02-28T17:37:40.599914,,15,Regular Season,Estadio de la Cerámica,Alberto Undiano Mallenco,Marcelino García Toral,Rafael Benítez Maudes,1.1.0,2,2,Villarreal,Real Madrid
3825681,2015-12-05,17:00:00.000,Spain - La Liga,2015/2016,Real Madrid,Getafe,4,1,available,unscheduled,2022-02-28T17:25:20.917523,,14,Regular Season,Estadio Santiago Bernabéu,Antonio Miguel Mateu Lahoz,Rafael Benítez Maudes,Francisco Escriba Segura,1.1.0,2,2,Real Madrid,Getafe
3825660,2015-11-08,17:00:00.000,Spain - La Liga,2015/2016,Barcelona,Villarreal,3,0,available,unscheduled,2022-02-28T16:58:10.853647,,11,Regular Season,Spotify Camp Nou,Carlos Clos Gómez,Luis Enrique Martínez García,Marcelino García Toral,1.1.0,2,2,Barcelona,Villarreal
3825661,2015-11-08,21:30:00.000,Spain - La Liga,2015/2016,Sevilla,Real Madrid,3,2,available,unscheduled,2022-02-28T16:56:54.006920,,11,Regular Season,Estadio Ramón Sánchez Pizjuán,José Luis González González,Unai Emery Etxegoien,Rafael Benítez Maudes,1.1.0,2,2,Sevilla,Real Madrid
3825637,2015-10-25,19:15:00.000,Spain - La Liga,2015/2016,Barcelona,Eibar,3,1,available,unscheduled,2022-02-14T14:44:25.324498,,9,Regular Season,Spotify Camp Nou,Carlos del Cerro Grande,Luis Enrique Martínez García,José Luis Mendilibar Etxebarria,1.1.0,2,2,Barcelona,Eibar
3825901,2016-05-08,17:00:00.000,Spain - La Liga,2015/2016,Real Madrid,Valencia,3,2,available,unscheduled,2022-05-08T22:34:19.136404,,37,Regular Season,Estadio Santiago Bernabéu,David Fernández Borbalan,Zinédine Zidane,Francisco Martín Ayestarán Barandiarán,1.1.0,2,2,Real Madrid,Valencia
3825893,2016-04-20,22:00:00.000,Spain - La Liga,2015/2016,Real Madrid,Villarreal,3,0,available,unscheduled,2022-04-06T22:06:38.190016,,34,Regular Season,Estadio Santiago Bernabéu,Carlos Clos Gómez,Zinédine Zidane,Marcelino García Toral,1.1.0,2,2,Real Madrid,Villarreal
3825886,2016-04-23,16:00:00.000,Spain - La Liga,2015/2016,Rayo Vallecano,Real Madrid,2,3,available,unscheduled,2022-05-08T22:12:08.084025,,35,Regular Season,Estadio de Vallecas,Alejandro José Hernández Hernández,Francisco Jémez Martín,Zinédine Zidane,1.1.0,2,2,Rayo Vallecano,Real Madrid
